Celebrity,Designer,Fashion house,Gender presentation,Primary color,Secondary color,Color group,Silhouette,Look category,Material or texture,Theme interpretation,Theme fit,Art reference,Best dressed,Public approval,Vote Yes Percent,Media source,Notes
Cara Delevingne,Ralph Lauren,Ralph Lauren,Female,Black,Nude / sheer,Black,Fitted column gown with train,Evening gown / sheer panel gown,"Velvet-like black fabric, sheer tulle, lace train, high neck",Historical fashion reference / Minimalist elegance,Low-medium,Ralph Lauren November 2011 Vogue cover dress worn by Rooney Mara,No,Low,22%,Vogue,"Black Ralph Lauren gown referencing the dress Rooney Mara wore on the November 2011 Vogue cover. The look is elegant and archival, but the connection to the “Fashion is Art” theme is subtle compared with more sculptural or conceptual looks."
Nicole Kidman,Matthieu Blazy,Chanel,Female,Ruby red,Red,Red,Fitted drop-waist gown with train,Sequin gown / feather-trimmed gown,"Sequins, feathers, organza flowers, hand-beading",Glamour / Craftsmanship as art,Medium,Chanel couture craftsmanship / Moulin Rouge-style showgirl glamour,No,Low,24%,Vogue,"Custom ruby-red Chanel gown by Matthieu Blazy, fully embroidered with sequins and feathered trim. The look emphasizes couture craftsmanship and theatrical glamour, but the connection to the “Fashion is Art” theme is more subtle than sculptural or concept-driven looks."
Sinéad Burke,Christian Siriano,Christian Siriano,Female,Black,,Black,Corseted gown with cape-like draping,Corset gown / dramatic black gown,"Corset structure, feather-like embellishments, black chiffon draping, sheer cape panels",Body as art / Inclusive body representation,High,Her own figure molded into a mannequin for “Costume Art”,No,Low,21%,Vogue,"Jet-black Christian Siriano gown with a corseted structure, feather-like shoulder embellishments, and chiffon cape draping. The look strongly connects to the exhibition because Burke’s own figure was molded into a mannequin for “Costume Art.”"
Sarah Pidgeon,Jack McCollough and Lazaro Hernandez,Loewe,Female,Chartreuse / yellow-green,,Chartreuse,Column skirt with bandeau top,Minimalist two-piece gown / sculptural bandeau look,"Matte satin, draped fabric, twisted bandeau",Minimalist art / Sculptural simplicity,Medium,Loewe Fall 2026 look 43; 1990s minimalism,No,Very low,8%,Vogue,"Custom Loewe chartreuse matte satin look by Jack McCollough and Lazaro Hernandez, featuring a twisted bandeau top and column skirt. The look has a minimalist sculptural quality, but its connection to the “Fashion is Art” theme is subtle, which may explain the very low public approval."
Rauw Alejandro,Anthony Vaccarello,Saint Laurent,Male,Black,,Black,Tailored trousers with glossy wrap shirt,Tailored menswear / wet-look shirt,"Glossy silicone, tuxedo fabric, patent leather effect",Wet-look / Minimalist tailoring,Low-medium,Saint Laurent wet-look tailoring / body-conscious menswear,No,Very low,12%,Vogue,"Black Saint Laurent look with glossy silicone lavallière/wrap shirt and tuxedo trousers. The wet-look texture gives the outfit a sensual, body-focused quality, but the concept is subtle for the “Fashion is Art” theme."
Venus Williams,Giovanna Engelbert,Swarovski,Female,Black,Silver / crystal,Black,Mermaid gown with structured neckplate,Crystal gown / jewelry-focused gown,"Crystal mesh, beading, pearl/crystal neckplate, draped chains",Portrait-inspired / Body as art / Personal symbolism,High,"Robert Pruitt, Venus Williams, Double Portrait 2022",No,Low,18%,Vogue,"Custom Swarovski crystal mesh gown by Giovanna Engelbert, inspired by Robert Pruitt’s 2022 portrait of Venus Williams. The symbolic neckplate references her life, family, tennis career, California roots, and legacy."
Kim Kardashian,Allen Jones / Whitaker Malem,Allen Jones / Whitaker Malem,Female,Orange / tangerine,Brown / nude,Orange,Sculpted bodysuit with open-front skirt,Sculptural breastplate / body armour look,"Fiberglass breastplate, leather skirt, painted surface, glossy molded finish",Sculptural / Anatomical body / Body armour,High,"Allen Jones, Body Armour; 1967–68 body cast reference",No,Low,18%,Vogue,"Custom sculptural look created with Allen Jones and Whitaker Malem. The molded orange fiberglass breastplate references Allen Jones’s body-armour works and turns the torso into a wearable sculpture, paired with a painted leather skirt."
Angela Bassett,Prabal Gurung,Prabal Gurung,Female,Pink,Light pink / silver,Pink,Fitted gown with fringe skirt and slit,Pink couture gown / fringe gown,"Draped bodice, beaded fringe, floral appliqué, embellishment",Painting-inspired / Black art history,High,"Laura Wheeler Waring, Girl in Pink Dress / The Girl in the Pink Dress 1927",No,Very low,15%,Vogue,"Custom pink Prabal Gurung gown inspired by Laura Wheeler Waring’s 1927 painting Girl in Pink Dress. The look translates the artwork’s pink palette into a mature red-carpet silhouette with draping, floral details, and beaded fringe."
Lauren Wasser,Prabal Gurung,Prabal Gurung,Female,Gold,Black,Gold,Tailored oversized suit with shorts,Metallic suit / tailored menswear-inspired look,"Gold lamé, pleats, metallic fabric, structured tailoring",Classical body / Goddess-inspired tailoring,Medium-high,Grecian goddess gowns in the exhibition,No,Low,24%,Vogue,Gold lamé two-piece Prabal Gurung suit with pleats reminiscent of Grecian goddess gowns from the exhibition. The look combines classical draping references with modern tailored suiting and highlights Wasser’s signature gold prosthetic legs.
Aariana Rose Philip,Hillary Tay,Collina Strada,Female,Black,,Black,Draped gown adapted for wheelchair,Draped evening gown / adaptive couture look,"Silky draped fabric, ruched texture, soft folds",Body as art / Inclusive body representation / 1930s glamour,High,1930s screen siren gown; her own figure molded into a mannequin for “Costume Art”,No,Low,17%,Vogue,"Black Collina Strada gown by Hillary Taymour, recalling the slinky elegance of a 1930s screen siren. The look strongly connects to the exhibition because Philip’s own figure was molded into a mannequin for “Costume Art,” bringing inclusive body representation directly into the theme."
SZA,Emily Adams Bode Aujla,Bode,Female,Yellow / golden yellow,Orange / pink / floral multicolor,Multicolor,Tiered ball gown with corset and train,Vintage-fabric gown / fairy-tale couture gown,"Vintage tulle, taffeta, silk faille, beaded lace, floral appliqués, hand-painted silk wings",Craftsmanship as art / Nature-inspired / Historical reference,High,Wiener Werkstätte; 18th-century robe française; butterfly-wing motifs,Yes,Medium,55%,Vogue,"Custom Bode gown by Emily Adams Bode Aujla, made from over 100 yards of vintage yellow fabrics sourced from eBay. The look combines corsetry, a tiered skirt, floral appliqués, butterfly-wing details, and historical robe française inspiration, creating a nature-focused and craft-heavy interpretation of “Fashion is Art.”"
Zoë Kravitz,Anthony Vaccarello,Saint Laurent,Female,Black,Nude / sheer,Black,Fitted gown with basque waist and structured skirt,Sheer lace gown / dark bridal look,"Guipure lace, sheer fabric, sculptural peplum/skirt structure",Dark bridal / Historical fashion reference / Lace craftsmanship,Medium,Basque waist bridal silhouette; Jessica McCormack jewelry with surrealist eye motifs,No,Low,31%,Vogue,"Black Saint Laurent guipure-lace gown by Anthony Vaccarello, worn unlined with a basque waist and dramatic lace structure. The look has strong dark bridal and lace-craftsmanship references, but the connection to “Fashion is Art” is more subtle than sculptural or painting-inspired looks."
Liline Jacquemus,Simon Porte Jacquemus,Jacquemus,Female,White / ivory,,White,Minimalist relaxed tailoring,Coordinated white tailoring / family duo look,"Soft suiting fabric, sheer/flowing layers, clean matte texture",Minimalist art / Personal storytelling,Medium,Family memory / Jacquemus brand identity,No,Very low,14%,Vogue,"Coordinated custom white Jacquemus looks worn by Simon Porte Jacquemus and his grandmother Liline. The styling reflects the designer’s family-centered brand identity and creates an intimate, emotional interpretation of fashion as personal art, though the visual impact is subtle for the Met Gala."
Simon Porte Jacquemus,Simon Porte Jacquemus,Jacquemus,Male,White / ivory,,White,Minimalist relaxed tailoring,Coordinated white tailoring / family duo look,"Soft suiting fabric, sheer/flowing layers, clean matte texture",Minimalist art / Personal storytelling,Medium,Family memory / Jacquemus brand identity,No,Very low,14%,Vogue,"Coordinated custom white Jacquemus looks worn by Simon Porte Jacquemus and his grandmother Liline. The styling reflects the designer’s family-centered brand identity and creates an intimate, emotional interpretation of fashion as personal art, though the visual impact is subtle for the Met Gala."
Sabine Getty,Mohammed Ashi,Ashi Studio,Female,Nude / ivory,Gold / beige,Nude,Fitted sheer gown with asymmetrical draping,Illusion gown / art-inspired gown,"Sheer tulle, distressed texture, feather-like fibers, bejeweled detail",Body as art / Illusion / Conceptual fashion,High,Bejeweled finger motif; life imitating art,Borderline,Medium,49%,Vogue,"Ashi Studio illusion gown with a bejeweled finger motif on the dress, echoed by Getty’s real hand placement. The look plays with the boundary between body, clothing, and artwork, making it a strong conceptual fit for “Fashion is Art.”"
Colman Domingo,Alessandro Michele,Valentino,Male,Multicolor,,Multicolor,Tailored tunic with straight-leg trousers,Color-blocked tailored look / harlequin-inspired menswear,"Knit or embroidered diamond-pattern fabric, structured tailoring, wide black belt",Costume art / Harlequin / Pattern as art,Medium-high,Harlequin / commedia dell’arte-inspired diamond pattern,No,Low,24%,Vogue,"Valentino multicolor diamond-pattern look with a black waist sash and tailored trousers. The harlequin-like pattern gives the outfit a theatrical, costume-art quality, while the tailoring keeps it polished and formal."
Isha Ambani,Gaurav Gupta,Gaurav Gupta,Female,Gold / ivory,Emerald / yellow,Gold,Draped sari with sculptural cape,Sculptural sari / heritage couture look,"Gold threads, embroidered fabric, sculptural draping, jewelry embellishment",Heritage craftsmanship / Sculptural / Body as art,High,Indian sari tradition; fresco-like hand-painted details; mango sculpture accessory,Borderline,Medium,48%,Vogue,"Custom Gaurav Gupta gold sari look with sculptural draping, jewelry-heavy styling, and heritage craftsmanship. The look combines Indian sari tradition with couture construction and art-object accessories, making it a strong interpretation of “Fashion is Art.”"
Connor Storrie,Anthony Vaccarello,Saint Laurent,Male,Black,White / silver,Black,Wide-leg tailored trousers with halter top,Gender-fluid tailoring / halter menswear look,"Polka-dot fabric, tailored wool trousers, long flowing train, brooch details",Gender-fluid fashion / Drapery as art / Tailoring,Medium-high,Greek or Roman sculpture-inspired drapery,No,Low,26%,Vogue,"Saint Laurent look by Anthony Vaccarello with a sleeveless polka-dot halter top, tailored wide-leg trousers, and a long flowing back train. The drapery gives a subtle Greek/Roman sculpture reference, while the halter silhouette creates a gender-fluid take on classic Saint Laurent tailoring."
Angel Reese,Joseph Altuzarra,Altuzarra,Female,Petal pink / blush pink,Nude / pink,Pink,Off-the-shoulder draped gown with high slit,Draped gown / romantic couture gown,"Draped fabric, voluminous sleeves, structured bodice, soft satin-like texture",Romantic painting-inspired / Drapery as art,Medium-high,18th-century painting / Thomas Gainsborough-inspired reference,No,Low,17%,Vogue,"Custom Altuzarra pink off-the-shoulder gown by Joseph Altuzarra, with dramatic draped sleeves, a high slit, and romantic painterly styling. The look references 18th-century portraiture and classic drapery, but the public vote was low."
Laufey,Tory Burch,Tory Burch,Female,Ivory / pearl white,White,Ivory,Column gown with capelet,Minimalist sequin gown / musical-instrument-inspired gown,"Sequins, beading, structured capelet, soft shimmer",Music as art / Sculptural simplicity,Medium-high,Cello silhouette / musical instrument form,No,Low,19%,Vogue,"Pearl-colored Tory Burch column gown with matching capelet, designed to echo the shape of a cello. The look connects fashion, music, and the body, though the visual impact is subtle for the Met Gala."
Lindsey Vonn,Thom Browne,Thom Browne,Female,White / ivory,Grey / silver,White,Fitted mermaid gown with tulle hem,Trompe-l’œil marble gown / classical sculpture gown,"Glass beads, tulle, beaded marbling, sheer gloves",Classical body / Trompe-l’œil / Sculpture-inspired,High,Grecian and Roman marble statues / classical sculpture,No,Very low,12%,Vogue,"Custom Thom Browne gown inspired by classical Grecian and Roman marble statues. The beading creates a trompe-l’œil marbling effect, making the body appear partly like a classical sculpture."
Gigi Hadid,Miuccia Prada,Miu Miu,Female,Black / sheer black,Silver / nude,Black,Sheer fitted gown with train,Naked dress / archival-inspired gown,"Sheer tulle, hotfix crystals, patchwork flames, floral embroidery",Archival reference / Body as art / Illusion,Medium-high,Miu Miu Spring 1998 sheer base and Spring 2011 flame/floral embroidery,No,Low,22%,Vogue,"Custom Miu Miu sheer gown combining references from Spring 1998 and Spring 2011. The dress uses a transparent base with crystals, flame patches, and floral embroidery, creating a body-focused archival reinterpretation."
Ejae,Giovanna Engelbert,Swarovski,Female,Silver,Crystal / grey,Silver,Fitted column gown,Crystal gown / jewelry-body gown,"Crystals, beading, metallic mesh, jeweled collar, hair ornaments",Heritage portrait / Body as jewel / Personal symbolism,High,Venus de Milo; Korean heritage; gisaeng / female courtesan of the Joseon dynasty,Borderline,Medium / borderline,45%,Vogue,"Swarovski crystal look inspired by Venus de Milo and Korean heritage, with references to gisaeng, the female courtesans of the Joseon dynasty. The jeweled body and ornate collar connect the look strongly to the “Fashion is Art” theme."
Janelle Monáe,Christian Siriano,Christian Siriano,Female,Green / black,Silver / grey,Green,Sculptural mermaid gown,Eco-futurist gown / living sculpture look,"Moss, succulents, electric cables, circuit-board fragments, crystals, recycled elements",Nature vs technology / Eco-futurism / Living sculpture,Very high,"Biocollage of electric cables, moss, succulents, and circuit-board fragments",Borderline,Medium / borderline,42%,Vogue,"Custom Christian Siriano look made from moss, succulents, electric cables, circuit-board fragments, crystals, and recycled elements. The concept explores nature overtaking technology and turns the body into a living eco-futurist sculpture."
Lisa,Robert Wun,Robert Wun,Female,White / icy white,Silver / nude,White,Fitted sheer gown with sculptural veil,Sculptural gown / illusion veil look,"Sheer tulle, crystals, veil, sculpted 3D arms, sparkling mesh",Body as art / Thai dance / Sculptural illusion,Very high,Traditional Thai dance positions; 3D-scanned arms,Yes,High,69%,Vogue,"Custom Robert Wun gown with a sculptural veil held by 3D-scanned arms based on Lisa’s own body. The arm arrangement references traditional Thai dance positions, making the body, movement, and garment part of one artwork."
Maya Hawke,Miuccia Prada,Prada,Female,Black / grey,Red,Black,Full-skirt dress / tea-length ball gown,Retro Americana dress / rockabilly-inspired gown,"Sheer organza/tulle, floral appliqués, structured full skirt",Americana / Retro fashion reference,Low-medium,Rockabilly / mid-century Americana,No,Low,17%,Vogue,"Prada look with a full skirt, headband, and retro Americana/rockabilly styling. It has a clear fashion reference, but the connection to “Fashion is Art” is subtle and not very Met Gala-impactful."
Skepta,Thom Browne,Thom Browne,Male,White,Black,White,Straight-leg suit / workwear-inspired suit,Tattoo-embroidered suit / graphic tailoring,"Embroidery, structured cotton/wool suit fabric, graphic black stitching",Body art / Personal symbolism / Tailoring as canvas,High,Skepta’s own tattoos,No,Low,23%,Vogue,"Custom Thom Browne white suit embroidered with versions of Skepta’s own tattoos. The look turns body art into garment art, making tailoring function like a canvas for personal history."
Yseult,Harris Reed,Harris Reed,Female,Black,Gold,Black,Sculptural gown with exaggerated hat/collar,Sculptural couture gown / body-bodice look,"Glass beads, structured tailoring, sculpted bodice, dramatic hat",Anatomical body / Sculptural / Body as art,Very high,Sculpted gold body / beaded belly-button motif,No,Low,32%,Vogue,"Harris Reed demi-couture look with over 400 hours of glass beadwork transformed into a sculpted gold bodice. The black tailoring frames the body like a wearable sculpture, making it one of the strongest theme fits."
Naomi Watts,Jonathan Anderson,Dior,Female,Black,Multicolor floral,Black,Strapless ball gown with full skirt,Floral gown / painterly garden gown,"Black satin-like fabric, floral appliqués, embroidery, full structured skirt",Floral/Nature / Painting-inspired,Medium-high,Floral painting / garden bouquet motif,No,Low,36%,Vogue,"Custom Dior look by Jonathan Anderson with a black strapless gown covered in colorful floral appliqués. The flowers create a painterly garden effect, making the dress pretty and thematic, though not highly approved by the public vote."
Stevie Nicks,John Galliano,Zara ,Female,Navy blue / dark blue,Black,Blue,Full ball skirt with fitted velvet jacket,Witchy romantic gown / steampunk-inspired look,"Velvet, taffeta-like full skirt, feathered top hat, dark trim",Historical / Theatrical / Witchy romantic,Medium,Historical / Theatrical / Witchy romantic,No,Very low,15%,Vogue,"Zara x John Galliano dark blue velvet look with a large full skirt and feathered top hat. The outfit has witchy, steampunk, and theatrical references, but the execution feels heavy and less refined for the Met Gala."
Julianne Moore,Louise Trotter,Bottega Veneta,Female,Black,,Black,One-shoulder column gown,Minimalist evening gown / classic black gown,"Crepe, silk organza stole, feather-like texture",Minimalist elegance / Classic glamour,Low-medium,Classic black eveningwear,No,Very low,16%,Vogue,"Simple black Bottega Veneta crepe gown with a silk organza stole. Elegant and classic, but the connection to “Fashion is Art” is subtle and not very concept-driven."
KUN,Thom Browne,Thom Browne,Male,Black / red,Silver,Black,Asymmetrical tailored suit with long coat panel,Anatomical suit / conceptual tailoring,"Sequins, beads, embroidery, structured tailoring",Anatomical body / Vital body / Circulatory system,Very high,“Vital Body” from the 2026 Met “Costume Art” exhibition,Yes,High,68%,Vogue,"Custom Thom Browne look inspired by the “Vital Body” section of the Costume Art exhibition. One half features over 400,000 sequins and beads representing the circulatory system, making it one of the clearest anatomical interpretations of the theme."
Jisoo,Jonathan Anderson,Dior,Female,Pink / pale pink,Silver / floral multicolor,Pink,Strapless column gown,Floral embroidered gown / garden gown,"Gazar, embroidery, floral appliqué, beading, bouquet details",Painting-inspired / Floral nature / Impressionism,High,Dior Impressionism / Monet-inspired garden imagery,Yes,High,65%,Vogue,Custom Dior floral column gown with garden-scene embroidery and bouquet details. The look connects to Dior’s art-historical relationship with Impressionism and creates a soft painterly interpretation of “Fashion is Art.”
Kylie Jenner,Daniel Roseberry,Schiaparelli,Female,Nude / cream,White / pearl,Nude,Sculpted corset with voluminous skirt,Anatomical corset gown / surrealist couture gown,"Corset, duchess satin, baroque pearls, pearlescent fish scales, embroidery",Anatomical body / Surrealism / Body as art,High,Schiaparelli surrealist body illusion; anatomical corsetry,No,Low,31%,Vogue,"Custom Schiaparelli look with a nude anatomical corset and heavily embroidered satin skirt. The faux-body construction and surrealist details connect strongly to the “Fashion is Art” theme, though public approval was low."
Paloma Elsesser,Francesco Risso,Bureau of Imagination,Female,Pastel multicolor,Blue / peach / cream,Multicolor,Fitted romantic gown with train,Historical upcycled gown / archival collage gown,"Vintage fabrics, lace, embroidery, appliqué, layered textiles",Historical fashion / Textile collage / Craftsmanship as art,High,Garments from the 1920s–1940s,Borderline,Medium / borderline,48%,Vogue,Bureau of Imagination gown by Francesco Risso made from a constellation of vintage garments dating from the 1920s through the 1940s. The look treats fashion history as material for a new artwork.
Alex Consani,Demna,Gucci,Female,Black / nude,White,Black,Corseted bustier with feathered skirt and train,Reveal gown / feathered couture look,"Nude tulle, black feathers, structured corset, white faille cape",Body as art / Theatrical reveal,Medium-high,Couture reveal performance,No,Low,30%,Vogue,"Gucci look with a white faille cape reveal, nude tulle corseted bustier, and black feathered skirt. The reveal adds performance and theatricality, but the concept is less specific than the strongest theme-driven looks."
Sombr,Alessandro Michele,Valentino,Male,Black,Silver,Black,Cape look with wide-leg trousers,Crystal cape / gothic romantic tailoring,"Lace, crystal fringe, sheer cape, embroidery",Gothic romantic / Costume art / Decorative body,Medium-high,Crowned romantic figure / theatrical cape tradition,No,Low,31%,Vogue,"Valentino look with lace, crystal fringe, a cape, and crown-like styling. It has a theatrical and romantic costume quality, but public approval stayed low."
Anne Hathaway,Michael Kors,Michael Kors Collection,Female,Black,White,Black,Strapless ball gown,Graphic gown / illustrated art gown,"Structured fabric, printed/illustrated motifs, full skirt",Poetry-inspired / Illustration as fashion / Art collaboration,High,John Keats poem “Ode on a Grecian Urn”; illustrations by McGough,Yes,Medium,53%,Vogue,"Michael Kors Collection gown made in collaboration with artist Peter McGough, featuring illustrations inspired by John Keats’s poem “Ode on a Grecian Urn.” The black-and-white graphic composition makes the gown feel like wearable illustration."
Sabrina Carpenter,Jonathan Anderson,Dior,Female,Black / silver,Sheer black / metallic grey,Black,Asymmetrical sheer gown with slit,Film-inspired gown / cinematic sheer dress,"Tulle, film strips, sheer fabric, metallic texture, crystal headpiece",Film as art / Archival cinema reference,Very high,Film strips from Sabrina,Yes,Medium-high,62%,Vogue,"Dior tulle gown made of film strips from Sabrina. The look directly connects fashion with cinema and turns film material into wearable art, making it one of the clearest interpretations of the theme."
Vittoria Ceretti,Wes Gordon,Carolina Herrera,Female,Black,Sheer black,Black,Draped cutout gown with sheer skirt,Minimal sheer gown / body-framing dress,"Sheer fabric, draped jersey/tulle, soft train",Body as canvas / Minimalist drapery,Medium,Human form / draped sculpture,No,Very low,15%,Vogue,"Black Carolina Herrera gown that frames the body with asymmetric draping and sheer fabric. It connects to the body-focused theme, but the overall concept is quite minimal compared with stronger Met Gala looks."
Misty Copeland,Michael Kors,Michael Kors Collection,Female,Brown,Nude / chocolate,Brown,Full tulle skirt with cropped bodice,Ballet-inspired gown / ballerina look,"Tulle, leather-like bodice, soft pleated layers",Dance as art / Personal artistic identity,Medium-high,Ballet / ballerina costume,No,Very low,11%,Vogue,"Michael Kors Collection look referencing Misty Copeland’s ballet background, with a soft tulle skirt and structured cropped bodice. The personal dance connection is strong, but visually the look is more understated than expected for the Met Gala."
Babyface,LaQuan Smith,LaQuan Smith,Male,Black,Silver / white,Black,Tailored jacket with slim trousers,Embellished tailoring / crystal suit,"Crystals, beading, structured tailoring, velvet/satin trousers",Tailoring as art / Ornamentation,Low-medium,Geometric crystal pattern,No,Very low,14%,Vogue,"Black LaQuan Smith tailored look with a crystal-patterned jacket. The embellishment adds visual interest, but the concept is fairly simple for the “Fashion is Art” theme."
Gracie Abrams,Matthieu Blazy,Chanel,Female,Gold / nude,Multicolor / cream,Gold,Fitted gown with chiffon skirt,Embroidered couture gown / romantic Chanel gown,"Golden lace, nude chiffon, crystals, sequins, chains, embroidery",Craftsmanship as art / Jewelry-body gown,Medium-high,Chanel couture embroidery,Borderline,Medium ,50%,Vogue,"Chanel gown with golden lace, nude chiffon, crystals, sequins, and chains. The look emphasizes couture craftsmanship and delicate ornamentation, though the public vote is exactly split."
Adut Akech,Thom Browne,Thom Browne,Female,Black,Pink / white,Black,Fitted maternity gown with train,Maternity couture gown / pregnant body look,"Tulle, lace, floral appliqués, layered texture, sheer panels",Pregnant body / Body as art / Floral symbolism,Very high,“Pregnant Body” theme from the Costume Art exhibition,Borderline,Medium-low,43%,Vogue,Thom Browne maternity couture look referencing the “Pregnant Body” theme from the Costume Art exhibition. The black layered gown with floral appliqués makes pregnancy central to the fashion statement.
Kendall Jenner,Zac Posen,Gap,Female,Ivory / cream,Beige,Ivory,Draped Grecian gown with train,Grecian sculptural gown,"Tea-dyed jersey, molded leather, chiffon, organza",Classical body / Drapery as art,High,Winged Victory of Samothrace,Borderline,Medium-low,41%,Vogue,Custom Gap look by Zac Posen inspired by Winged Victory of Samothrace. The draping and molded bodice turn a simple T-shirt reference into a classical sculptural gown.
Cher,Daniel Lee,Burberry,Female,Black,,Black,Fitted gown with leather jacket and train,Gothic rock gown / leather evening look,"Leather, lace, sheer fabric, tulle train",Archival celebrity reference / Rock glamour,Medium,Cher’s 1974 Met dress by Bob Mackie,No,Very low,10%,Vogue,"Black Burberry look referencing Cher’s 1974 Bob Mackie Met dress. The leather and lace styling gives it a gothic rock feel, but the theme connection is mostly archival and subtle."
Anok Yai,Pierpaolo Piccioli,Balenciaga,Female,Black,,Black,Structural hooded ball gown,Sculptural black gown / hooded couture gown,"Structured taffeta-like fabric, ruched bodice, dramatic hood, gloves",Sculptural / Black Madonna / Body as icon,Very high,Black Madonna / religious iconography / couture sculpture,Yes,Medium-high,59%,Vogue,"Custom Balenciaga sculptural black gown with a dramatic hooded structure. The look transforms Anok Yai into an icon-like figure and has strong visual impact, making it one of the clearest high-fashion interpretations of “Fashion is Art.”"
